timestamp,market_id,kalshi_url,player_a,player_a_id,player_b,player_b_id,tournament,event_date,yes_ask,yes_bid,reason,reason_detail
2026-05-07T13:41:36+00:00,kalshi::KXATPCHALLENGERMATCH-26MAY07PDAABO-ABO,https://kalshi.com/markets/kxatpchallengermatch/kxatpchallengermatch-26may07pdaabo,Valerio Aboian,A0G7,Pucinelli de Almeida,,Santos,2026-05-07,0.28,0.27,missing_player_id,"player_a_id='A0G7', player_b_id=nan"
2026-05-07T13:41:36+00:00,kalshi::KXATPCHALLENGERMATCH-26MAY07FERTSE-TSE,https://kalshi.com/markets/kxatpchallengermatch/kxatpchallengermatch-26may07fertse,Chun-Hsin Tseng,T0AP,Ferreira Silva,,Francavilla,2026-05-07,0.56,0.55,missing_player_id,"player_a_id='T0AP', player_b_id=nan"
2026-05-07T13:41:36+00:00,kalshi::KXATPCHALLENGERMATCH-26MAY07JUSROD-ROD,https://kalshi.com/markets/kxatpchallengermatch/kxatpchallengermatch-26may07jusrod,Lorenzo Joaquin Rodriguez,R0BC,Guido Ivan Justo,J0AW,Santos,2026-05-07,0.35,0.34,below_min_edge,best_edge=0.027 on YES @ theo=0.377
2026-05-07T13:41:36+00:00,kalshi::KXATPCHALLENGERMATCH-26MAY07JUSROD-JUS,https://kalshi.com/markets/kxatpchallengermatch/kxatpchallengermatch-26may07jusrod,Guido Ivan Justo,J0AW,Lorenzo Joaquin Rodriguez,R0BC,Santos,2026-05-07,0.66,0.65,below_min_edge,best_edge=0.027 on YES @ theo=0.377
2026-05-07T13:41:36+00:00,kalshi::KXATPCHALLENGERMATCH-26MAY07HUERON-RON,https://kalshi.com/markets/kxatpchallengermatch/kxatpchallengermatch-26may07hueron,Franco Roncadelli,R0BT,Conner Huertas del Pino,HG90,Santos,2026-05-07,0.72,0.51,below_min_edge,best_edge=-0.055 on YES @ theo=0.355
2026-05-07T13:41:36+00:00,kalshi::KXATPCHALLENGERMATCH-26MAY07HUERON-HUE,https://kalshi.com/markets/kxatpchallengermatch/kxatpchallengermatch-26may07hueron,Conner Huertas del Pino,HG90,Franco Roncadelli,R0BT,Santos,2026-05-07,0.41,0.26,below_min_edge,best_edge=-0.055 on YES @ theo=0.355
2026-05-07T03:14:07+00:00,kalshi::KXATPCHALLENGERMATCH-26MAY07DICSCH-SCH,https://kalshi.com/markets/kxatpchallengermatch/kxatpchallengermatch-26may07dicsch,Joao Eduardo Schiessl,S0T1,Ryan Dickerson,D0IN,Santos,2026-05-07,0.8,0.2,wide_spread,spread=0.60
2026-05-07T03:14:07+00:00,kalshi::KXATPCHALLENGERMATCH-26MAY07DICSCH-DIC,https://kalshi.com/markets/kxatpchallengermatch/kxatpchallengermatch-26may07dicsch,Ryan Dickerson,D0IN,Joao Eduardo Schiessl,S0T1,Santos,2026-05-07,0.96,0.04,wide_spread,spread=0.92
2026-05-07T03:14:07+00:00,kalshi::KXATPCHALLENGERMATCH-26MAY07DEVHAR-HAR,https://kalshi.com/markets/kxatpchallengermatch/kxatpchallengermatch-26may07devhar,Nick Hardt,H0A4,Hugo Dellien,DA31,Santos,2026-05-07,0.8,0.2,wide_spread,spread=0.60
2026-05-07T03:14:07+00:00,kalshi::KXATPCHALLENGERMATCH-26MAY07DEVHAR-DEV,https://kalshi.com/markets/kxatpchallengermatch/kxatpchallengermatch-26may07devhar,Murkel Dellien,DC48,Nick Hardt,H0A4,Santos,2026-05-07,0.96,0.04,wide_spread,spread=0.92
2026-05-07T03:14:07+00:00,kalshi::KXATPCHALLENGERMATCH-26MAY07HUERON-RON,https://kalshi.com/markets/kxatpchallengermatch/kxatpchallengermatch-26may07hueron,Franco Roncadelli,R0BT,Conner Huertas del Pino,HG90,Santos,2026-05-07,0.77,0.18,wide_spread,spread=0.59
